,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,is_inc_v,issue_d,pymnt_plan,purpose,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,not_compliant,status,inactive_loans,bad_loans,emp_length_num,pub_rec_zero,short_emp,final_d,last_record_none,last_major_derog_none,home_ownership,annual_inc,addr_state,dti,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,total_acc,deliquency
48,92529,5000,5000,675,36,11.22,164.23,C,C4,not verified,2007-07-01,n,credit_card,F,0,0,5911.92,798.03,5000.0,911.92,0.0,0.0,0.0,2010-07-01,165.17,,2007-06-01,,0,Fully Paid,1.0,0.0,1,0.0,1,2010-07-01,0,1,OWN,80000.0,WI,1.21,1996-07-01,3.0,0.0,15.0,1.0,29.0,0
49,92542,5000,5000,375,36,9.96,161.25,B,B5,not verified,2007-07-01,n,debt_consolidation,F,0,0,5804.64,435.32,5000.0,804.64,0.0,0.0,0.0,2010-07-01,162.07,,2010-06-01,,0,Fully Paid,1.0,0.0,5,1.0,0,2010-07-01,0,1,MORTGAGE,48000.0,FL,8.03,1995-08-01,1.0,0.0,6.0,0.0,6.0,0
50,92661,5000,5000,525,36,9.33,159.77,B,B3,not verified,2007-07-01,n,home_improvement,F,0,0,5751.34,603.79,5000.0,751.34,0.0,0.0,0.0,2010-07-01,161.55,,2007-06-01,,0,Fully Paid,1.0,0.0,3,1.0,0,2010-07-01,0,1,MORTGAGE,180000.0,WI,11.93,1995-02-01,1.0,0.0,16.0,0.0,38.0,0
51,92671,5000,5000,150,36,8.07,156.84,A,A4,not verified,2007-07-01,n,home_improvement,F,0,0,5645.9,169.33,5000.0,645.9,0.0,0.0,0.0,2010-07-01,157.31,,2007-06-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,MORTGAGE,180000.0,WI,5.55,1996-06-01,0.0,0.0,12.0,0.0,39.0,0
52,92947,2000,2000,1025,36,12.8,67.2,D,D4,not verified,2007-07-01,n,credit_card,F,0,0,2418.8,1239.57,2000.0,418.8,0.0,0.0,0.0,2010-07-01,68.31,2010-07-01,2010-06-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,OWN,10000.0,NC,3.48,2004-04-01,0.0,4.0,2.0,0.0,4.0,1
53,93057,5000,5000,250,36,7.43,155.38,A,A2,not verified,2007-07-01,n,debt_consolidation,F,0,0,5593.51,279.65,5000.0,593.51,0.0,0.0,0.0,2010-07-01,157.02,,2010-06-01,,0,Fully Paid,1.0,0.0,9,1.0,0,2010-07-01,0,1,MORTGAGE,120000.0,MA,2.29,1997-10-01,0.0,0.0,8.0,0.0,16.0,0
54,93254,3000,3000,950,36,8.7,94.98,B,B1,not verified,2007-07-01,n,small_business,F,0,0,3418.88,1082.55,3000.0,418.88,0.0,0.0,0.0,2010-07-01,97.45,,2010-07-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,MORTGAGE,25000.0,MA,14.54,2000-09-01,1.0,0.0,10.0,0.0,13.0,0
55,94385,6725,6725,825,36,13.12,226.98,D,D5,not verified,2007-07-01,n,debt_consolidation,F,0,0,4210.94,515.66,3039.64,1171.3,0.0,0.0,0.0,2009-04-01,42.11,2009-08-01,2009-08-01,,1,Charged Off,1.0,1.0,11,0.0,0,2010-07-01,0,1,MORTGAGE,60000.0,MO,13.16,1991-05-01,9.0,0.0,10.0,1.0,32.0,0
56,73673,3000,3000,2550,36,10.28,97.2,C,C1,not verified,2007-07-01,n,home_improvement,F,0,0,3498.56,2973.81,3000.0,498.56,0.0,0.0,0.0,2010-07-01,98.49,,2013-02-01,,0,Fully Paid,1.0,0.0,3,1.0,0,2010-07-01,0,1,MORTGAGE,200000.0,NY,0.0,1997-02-01,0.0,19.0,5.0,0.0,8.0,1
57,95191,20000,20000,700,36,15.01,693.45,F,F1,not verified,2007-07-01,n,credit_card,F,0,0,8294.05,289.82,5191.34,2435.47,0.0,667.24,6.68,2008-06-01,693.44,2009-01-01,2009-01-01,,1,Charged Off,1.0,1.0,3,1.0,0,2010-07-01,0,1,OWN,80000.0,FL,3.11,1997-09-01,6.0,2.0,5.0,0.0,6.0,1
58,95225,10000,10000,1450,36,10.59,325.46,C,C2,not verified,2007-07-01,n,credit_card,F,0,0,10717.4,1553.97,10000.0,717.36,0.0,0.0,0.0,2008-04-01,8114.58,2008-04-01,2015-02-01,,1,Fully Paid,1.0,0.0,3,1.0,0,2010-07-01,0,1,MORTGAGE,55000.0,WY,17.96,1998-10-01,5.0,0.0,11.0,0.0,45.0,0
59,96338,5000,5000,850,36,11.22,164.23,C,C4,not verified,2007-07-01,n,credit_card,F,0,0,5911.76,1004.92,5000.0,911.76,0.0,0.0,0.0,2010-07-01,166.25,,2012-10-01,,0,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,OWN,30000.0,GA,18.64,1993-04-01,0.0,0.0,10.0,0.0,12.0,0
60,95222,5300,5300,600,36,8.38,167.02,A,A5,not verified,2007-07-01,n,credit_card,F,0,0,6012.16,680.4,5300.0,712.16,0.0,0.0,0.0,2010-07-01,170.05,,2010-07-01,,0,Fully Paid,1.0,0.0,8,1.0,0,2010-07-01,0,1,MORTGAGE,74000.0,IN,14.37,1992-02-01,0.0,0.0,15.0,0.0,29.0,0
61,97601,10500,4000,1150,36,16.91,142.43,G,G2,not verified,2007-07-01,n,credit_card,F,0,0,5127.4,1474.19,4000.0,1127.4,0.0,0.0,0.0,2010-07-01,143.43,2010-08-01,2010-07-01,,1,Fully Paid,1.0,0.0,5,1.0,0,2010-07-01,0,1,RENT,68000.0,FL,19.62,2001-12-01,3.0,6.0,7.0,0.0,11.0,1
62,98268,5400,5400,200,36,7.75,168.6,A,A3,not verified,2007-07-01,n,other,F,0,0,6069.3,224.79,5400.0,669.3,0.0,0.0,0.0,2010-07-01,169.09,,2013-12-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,8000.0,GA,3.0,1989-03-01,0.0,0.0,4.0,0.0,4.0,0
63,97572,5100,5100,575,36,8.38,160.72,A,A5,not verified,2007-07-01,n,vacation,F,0,0,5778.8,651.42,5100.0,678.8,0.0,0.0,0.0,2010-04-01,638.15,,2007-06-01,,0,Fully Paid,1.0,0.0,5,1.0,0,2010-07-01,0,1,RENT,32000.0,IN,14.78,1995-06-01,0.0,0.0,11.0,0.0,22.0,0
64,98355,2600,2600,950,36,14.38,89.35,E,E4,not verified,2007-07-01,n,other,F,0,0,1807.63,659.58,1159.26,446.3,0.0,202.07,70.74,2009-01-01,89.35,2009-08-01,2009-08-01,,1,Charged Off,1.0,1.0,11,0.0,0,2010-07-01,0,1,OWN,42000.0,IN,16.91,1992-04-01,18.0,17.0,14.0,1.0,28.0,1
65,98957,5000,5000,675,36,9.01,159.03,B,B2,not verified,2007-07-01,n,credit_card,F,0,0,5724.93,772.82,5000.0,724.93,0.0,0.0,0.0,2010-07-01,160.02,,2010-07-01,,0,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,73000.0,VA,9.96,1999-01-01,0.0,0.0,21.0,0.0,28.0,0
66,98954,3500,3500,1025,36,10.91,114.44,C,C3,not verified,2007-07-01,n,debt_consolidation,F,0,0,4138.8,1211.81,3500.0,608.84,29.9633,0.0,0.0,2010-03-01,565.92,2010-04-01,2014-12-01,,1,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,15000.0,MA,11.52,2004-10-01,0.0,0.0,8.0,0.0,9.0,0
67,98991,5750,5750,3675,36,7.43,178.69,A,A2,not verified,2007-07-01,n,debt_consolidation,F,0,0,6421.5,4104.19,5750.0,671.5,0.0,0.0,0.0,2010-05-01,4.74,,2010-04-01,,0,Fully Paid,1.0,0.0,11,1.0,0,2010-07-01,0,1,MORTGAGE,125000.0,MA,0.27,1987-01-01,0.0,0.0,10.0,0.0,16.0,0
68,99089,15600,8000,775,36,11.86,265.17,D,D1,not verified,2007-07-01,n,debt_consolidation,F,0,0,4109.63,397.5,3074.52,1035.11,0.0,0.0,0.0,2008-11-01,398.98,2009-09-01,2009-09-01,,1,Charged Off,1.0,1.0,11,0.0,0,2010-07-01,0,1,MORTGAGE,63000.0,NY,10.42,1989-12-01,14.0,0.0,16.0,1.0,28.0,0
69,99618,4000,4000,325,36,13.12,135.01,D,D5,not verified,2007-07-01,n,home_improvement,F,0,0,4898.14,397.87,4000.0,853.15,44.9903,0.0,0.0,2010-06-01,62.97,2010-07-01,2014-08-01,,1,Fully Paid,1.0,0.0,11,0.0,0,2010-07-01,0,1,MORTGAGE,32000.0,NC,7.91,1992-02-01,3.0,58.0,10.0,1.0,45.0,0
70,94816,10000,10000,525,36,14.7,345.18,E,E5,not verified,2007-07-01,n,credit_card,F,0,0,12425.8,652.12,10000.0,2425.81,0.0,0.0,0.0,2010-07-01,347.41,2010-08-01,2012-11-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,65000.0,FL,6.37,2002-04-01,6.0,0.0,4.0,0.0,5.0,0
71,93312,1200,1200,550,36,10.28,38.88,C,C1,not verified,2007-07-01,n,other,F,0,0,1399.26,641.26,1200.0,199.26,0.0,0.0,0.0,2010-07-01,39.73,2010-08-01,2010-07-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,4000.0,FL,8.1,2006-06-01,1.0,0.0,3.0,0.0,3.0,0
72,100107,1000,1000,500,36,12.49,33.45,D,D3,not verified,2007-07-01,n,credit_card,F,0,0,1203.76,601.8,1000.0,203.76,0.0,0.0,0.0,2010-07-01,35.25,2010-08-01,2013-11-01,,1,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,32000.0,IN,5.21,2000-10-01,2.0,13.0,12.0,0.0,27.0,1
73,100208,5000,5000,3675,36,7.43,155.38,A,A2,not verified,2007-08-01,n,credit_card,F,0,0,5593.46,4111.18,5000.0,593.46,0.0,0.0,0.0,2010-08-01,157.74,,2007-06-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-08-01,0,1,OWN,45000.0,WI,1.12,1991-08-01,1.0,0.0,5.0,0.0,11.0,0
74,100083,10000,10000,400,36,10.28,323.98,C,C1,not verified,2007-07-01,n,small_business,F,0,0,11662.1,466.05,10000.0,1662.13,0.0,0.0,0.0,2010-07-01,328.93,,2010-10-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,27376.0,CO,10.7,2003-09-01,0.0,0.0,4.0,0.0,4.0,0
75,95212,25000,25000,525,36,10.59,813.65,C,C2,not verified,2007-07-01,n,small_business,F,0,0,29269.7,614.55,25000.0,4269.66,0.0,0.0,0.0,2010-06-01,3.54,,2010-06-01,,0,Fully Paid,1.0,0.0,3,1.0,0,2010-07-01,0,1,RENT,48000.0,NY,4.05,2000-01-01,0.0,0.0,5.0,0.0,12.0,0
76,102808,4500,4500,1325,36,12.49,150.52,D,D3,not verified,2007-07-01,n,debt_consolidation,F,0,0,5417.99,1595.05,4500.0,917.99,0.0,0.0,0.0,2010-07-01,153.23,2010-08-01,2012-11-01,,1,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,31000.0,GA,9.56,2005-05-01,1.0,0.0,5.0,0.0,6.0,0
77,87891,1800,1800,300,36,14.38,61.86,E,E4,not verified,2007-07-01,n,other,F,0,0,1038.74,172.4,686.41,286.79,14.9758,50.56,0.5,2008-12-01,61.86,2009-09-01,2009-08-01,,1,Charged Off,1.0,1.0,2,1.0,0,2010-07-01,0,1,RENT,40000.0,NC,4.11,2005-10-01,9.0,0.0,9.0,0.0,13.0,0
78,103483,4000,4000,625,36,15.33,139.31,F,F2,not verified,2007-07-01,n,credit_card,F,0,0,5014.73,783.5,4000.0,1014.73,0.0,0.0,0.0,2010-07-01,140.84,2010-08-01,2014-02-01,,1,Fully Paid,1.0,0.0,4,1.0,0,2010-07-01,0,1,RENT,86000.0,NY,20.12,1999-09-01,1.0,0.0,20.0,0.0,37.0,0
79,103835,5000,5000,1100,36,11.22,164.23,C,C4,not verified,2007-07-01,n,moving,F,0,0,991.09,217.86,721.06,270.03,0.0,0.0,0.0,2008-10-01,6.33,2008-12-01,2009-01-01,,1,Charged Off,1.0,1.0,4,1.0,0,2010-07-01,0,1,RENT,61000.0,NY,14.48,1999-05-01,15.0,0.0,16.0,0.0,31.0,0
80,104523,1250,1250,75,36,14.38,42.96,E,E4,not verified,2007-07-01,n,credit_card,F,0,0,1516.75,90.92,1250.0,266.75,0.0,0.0,0.0,2009-09-01,244.87,2009-10-01,2009-09-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,10000.0,MA,5.64,2005-09-01,1.0,0.0,2.0,0.0,2.0,0
81,104538,9000,9000,1425,36,15.96,316.25,F,F4,not verified,2007-07-01,n,debt_consolidation,F,0,0,10075.0,1595.11,9000.0,1074.96,0.0,0.0,0.0,2008-05-01,7229.8,2008-06-01,2013-10-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,MORTGAGE,20000.0,GA,15.66,1992-10-01,1.0,0.0,13.0,0.0,14.0,0
82,106039,3500,3500,1200,36,9.96,112.87,B,B5,not verified,2007-07-01,n,other,F,0,0,3941.83,1351.44,3500.0,441.83,0.0,0.0,0.0,2009-03-01,1798.54,,2015-02-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,13500.0,FL,16.44,2002-12-01,1.0,0.0,10.0,0.0,16.0,0
83,106139,2000,2000,100,36,14.38,68.73,E,E4,not verified,2007-07-01,n,other,F,0,0,2496.19,124.72,2000.0,481.19,14.9951,0.0,0.0,2011-04-01,92.19,2011-05-01,2011-04-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,40000.0,FL,15.57,2006-11-01,0.0,0.0,2.0,0.0,3.0,0
84,106333,2700,2700,550,36,15.96,94.88,F,F4,not verified,2007-07-01,n,debt_consolidation,F,0,0,3415.0,695.54,2700.0,715.0,0.0,0.0,0.0,2010-07-01,96.4,,2010-07-01,,0,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,52200.0,MA,12.57,2003-08-01,1.0,0.0,12.0,0.0,13.0,0
85,107130,12250,12250,1525,36,10.59,398.69,C,C2,not verified,2007-07-01,n,small_business,F,0,0,13128.8,1634.39,12250.0,878.8,0.0,0.0,0.0,2008-04-01,9939.88,,2007-07-01,,0,Fully Paid,1.0,0.0,4,1.0,0,2010-07-01,0,1,RENT,60000.0,FL,17.12,1969-02-01,2.0,19.0,10.0,0.0,24.0,1
86,107536,3200,3200,1250,36,14.7,110.46,E,E5,not verified,2007-07-01,n,debt_consolidation,F,0,0,3976.08,1553.09,3200.0,776.08,0.0,0.0,0.0,2010-07-01,111.97,2010-08-01,2014-02-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,13000.0,FL,9.42,2006-04-01,1.0,0.0,5.0,0.0,5.0,0
87,108073,1200,1200,700,36,17.54,43.11,G,G4,not verified,2007-07-01,n,other,F,0,0,1551.59,905.02,1200.0,351.59,0.0,0.0,0.0,2010-07-01,43.81,2010-08-01,2014-04-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,9600.0,GA,8.38,2005-09-01,0.0,7.0,3.0,0.0,3.0,1
88,109346,1200,1200,0,36,11.54,39.6,C,C5,not verified,2007-07-01,n,credit_card,F,0,0,1425.37,0.0,1200.0,225.37,0.0,0.0,0.0,2010-07-01,39.45,,2010-07-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,20000.0,ME,2.04,2004-05-01,2.0,24.0,3.0,0.0,4.0,1
89,109784,4200,4200,1350,36,12.49,140.48,D,D3,not verified,2007-07-01,n,debt_consolidation,F,0,0,4716.03,1515.73,4200.0,516.03,0.0,0.0,0.0,2008-09-01,2890.99,2008-10-01,,,1,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,49500.0,MD,7.68,2004-09-01,1.0,0.0,7.0,0.0,9.0,0
90,109687,1000,1000,850,36,15.01,34.68,F,F1,not verified,2007-07-01,n,debt_consolidation,F,0,0,1247.75,1060.53,1000.0,247.75,0.0,0.0,0.0,2010-07-01,36.56,2010-08-01,2011-01-01,,1,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,17280.0,MO,20.0,2004-08-01,2.0,0.0,12.0,0.0,22.0,0
91,111223,20000,20000,2800,36,13.43,678.08,E,E1,not verified,2007-08-01,n,credit_card,F,0,0,20339.7,2845.82,16077.4,4262.24,0.0,0.0,0.0,2010-02-01,678.08,,2010-07-01,,0,Charged Off,1.0,1.0,7,1.0,0,2010-08-01,1,1,MORTGAGE,145000.0,FL,10.15,1996-01-01,0.0,,17.0,0.0,26.0,0
92,105982,12000,12000,2500,36,12.49,401.37,D,D3,not verified,2007-08-01,n,credit_card,F,0,0,14449.0,3010.1,12000.0,2448.99,0.0,0.0,0.0,2010-07-01,402.93,,2010-07-01,,0,Fully Paid,1.0,0.0,10,1.0,0,2010-08-01,0,1,OWN,75000.0,FL,15.0,1995-04-01,3.0,78.0,9.0,0.0,24.0,0
93,102675,4100,4100,2775,36,10.59,133.44,C,C2,not verified,2007-08-01,n,other,F,0,0,4805.81,3252.69,4100.0,705.81,0.0,0.0,0.0,2010-09-01,135.51,2010-09-01,2010-09-01,,1,Fully Paid,1.0,0.0,3,1.0,0,2010-08-01,1,1,RENT,40000.0,FL,9.51,2006-06-01,2.0,,3.0,0.0,3.0,0
94,110482,3500,3500,2575,36,12.17,116.54,D,D2,not verified,2007-08-01,n,credit_card,F,0,0,4195.03,3086.33,3500.0,695.03,0.0,0.0,0.0,2010-08-01,117.96,2010-08-01,2010-07-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-08-01,0,1,RENT,10000.0,NY,14.76,2004-09-01,0.0,0.0,3.0,0.0,4.0,0
95,111912,6400,6400,4075,36,9.64,205.45,B,B4,not verified,2007-08-01,n,moving,F,0,0,7395.83,4709.03,6400.0,995.83,0.0,0.0,0.0,2010-08-01,206.58,,2010-07-01,,0,Fully Paid,1.0,0.0,2,1.0,0,2010-08-01,1,1,RENT,60000.0,WI,7.72,2001-04-01,0.0,,7.0,0.0,8.0,0
96,106279,12000,12000,1025,36,11.86,397.75,D,D1,not verified,2007-08-01,n,debt_consolidation,F,0,0,14360.8,1226.23,12000.0,2341.0,19.84,0.0,0.0,2011-03-01,239.9,,2011-03-01,,0,Fully Paid,1.0,0.0,2,1.0,0,2010-08-01,0,1,RENT,65000.0,NY,7.14,1983-08-01,0.0,2.0,6.0,0.0,23.0,1
97,112227,5000,5000,3975,36,7.43,155.38,A,A2,not verified,2007-07-01,n,car,F,0,0,5593.39,4446.74,5000.0,593.39,0.0,0.0,0.0,2010-08-01,158.65,,2013-11-01,,0,Fully Paid,1.0,0.0,7,1.0,0,2010-07-01,0,1,RENT,40000.0,WI,2.55,1985-02-01,2.0,0.0,4.0,0.0,7.0,0
98,107671,3500,3500,1125,36,10.28,113.39,C,C1,not verified,2007-07-01,n,moving,F,0,0,4096.26,1316.32,3500.0,581.29,14.9722,0.0,0.0,2010-09-01,6.57,,2010-08-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,RENT,20000.0,MA,1.5,2003-09-01,0.0,0.0,17.0,0.0,18.0,0
